央视,#genre#
CCTV1,http://ahz1.e3.luyouxia.net:11466/288/1680101/index.m3u8
CCTV2,http://ahz1.e3.luyouxia.net:11466/288/1680102/index.m3u8
CCTV3,http://ahz1.e3.luyouxia.net:11466/288/1680103/index.m3u8
CCTV4,http://ahz1.e3.luyouxia.net:11466/288/1680104/index.m3u8
CCTV5,http://ahz1.e3.luyouxia.net:11466/288/1680105/index.m3u8
CCTV6,http://ahz1.e3.luyouxia.net:11466/288/1680106/index.m3u8
CCTV7,http://ahz1.e3.luyouxia.net:11466/288/1680107/index.m3u8
CCTV8,http://ahz1.e3.luyouxia.net:11466/288/1680108/index.m3u8
CCTV9,http://ahz1.e3.luyouxia.net:11466/288/1680109/index.m3u8
CCTV10,http://ahz1.e3.luyouxia.net:11466/288/1680110/index.m3u8
CCTV11,http://ahz1.e3.luyouxia.net:11466/288/1680111/index.m3u8
CCTV12,http://ahz1.e3.luyouxia.net:11466/288/1680112/index.m3u8
CCTV13,http://ahz1.e3.luyouxia.net:11466/288/1680113/index.m3u8
CCTV14,http://ahz1.e3.luyouxia.net:11466/288/1680114/index.m3u8
CCTV15,http://ahz1.e3.luyouxia.net:11466/288/1680115/index.m3u8
卫视,#genre#
安徽卫视,http://ahz1.e3.luyouxia.net:11466/288/1680116/index.m3u8
东方卫视,http://ahz1.e3.luyouxia.net:11466/288/1680117/index.m3u8
甘肃卫视,http://ahz1.e3.luyouxia.net:11466/288/1680118/index.m3u8
广东卫视,http://ahz1.e3.luyouxia.net:11466/288/1680119/index.m3u8
贵州卫视,http://ahz1.e3.luyouxia.net:11466/288/1680120/index.m3u8
河北卫视,http://ahz1.e3.luyouxia.net:11466/288/1680121/index.m3u8
黑龙江卫视,http://ahz1.e3.luyouxia.net:11466/288/1680123/index.m3u8
湖北卫视,http://ahz1.e3.luyouxia.net:11466/288/1680124/index.m3u8
湖南卫视,http://ahz1.e3.luyouxia.net:11466/288/1680125/index.m3u8
吉林卫视,http://ahz1.e3.luyouxia.net:11466/288/1680126/index.m3u8
江苏卫视,http://ahz1.e3.luyouxia.net:11466/288/1680127/index.m3u8
内蒙古卫视,http://ahz1.e3.luyouxia.net:11466/288/1680128/index.m3u8
宁夏卫视,http://ahz1.e3.luyouxia.net:11466/288/1680129/index.m3u8
青海卫视,http://ahz1.e3.luyouxia.net:11466/288/1680130/index.m3u8
厦门卫视,http://ahz1.e3.luyouxia.net:11466/288/1680131/index.m3u8
山东卫视,http://ahz1.e3.luyouxia.net:11466/288/1680132/index.m3u8
深圳卫视,http://ahz1.e3.luyouxia.net:11466/288/1680133/index.m3u8
重庆卫视,http://ahz1.e3.luyouxia.net:11466/288/1680134/index.m3u8
天津卫视,http://ahz1.e3.luyouxia.net:11466/288/1680135/index.m3u8
辽宁卫视,http://ahz1.e3.luyouxia.net:11466/288/1680136/index.m3u8
山西卫视,http://ahz1.e3.luyouxia.net:11466/288/1680137/index.m3u8
四川卫视,http://ahz1.e3.luyouxia.net:11466/288/1680138/index.m3u8
北京卫视,http://ahz1.e3.luyouxia.net:11466/288/1680139/index.m3u8
数字,#genre#
金鹰卡通,http://ahz1.e3.luyouxia.net:11466/288/1680140/index.m3u8
卡酷动画,http://ahz1.e3.luyouxia.net:11466/288/1680141/index.m3u8
嘉佳卡通,http://ahz1.e3.luyouxia.net:11466/288/1680142/index.m3u8
喜剧影院,http://ahz1.e3.luyouxia.net:11466/288/1680143/index.m3u8
足球,http://ahz1.e3.luyouxia.net:11466/288/1680144/index.m3u8
星影,http://ahz1.e3.luyouxia.net:11466/288/1680145/index.m3u8
军事,http://ahz1.e3.luyouxia.net:11466/288/1680146/index.m3u8
